COD,Tip Produs,DENUMIRE,DESCRIERE,CATEGORIE,PRET_RECOMANDAT,PRET_ACHIZITIE,STOC,IMAGINE_PRINCIPALA,BRAND,GREUTATE,Unnamed: 11,EAN,TVA,Moneda,Pret_Vanzare,ID_CATEGORIE,Product_ID,URL_IMAGINE_SECUNDARA_1,URL_IMAGINE_SECUNDARA_2,URL_IMAGINE_SECUNDARA_3,URL_IMAGINE_SECUNDARA_4,URL_IMAGINE_SECUNDARA_5
AVX-AM01534,Parasolar parbriz argintiu,Parasolar parbriz argintiu din spuma EPE 150x80 cm,<p>Reflecta razele soarelui facand temperatura din masina sa fie suportabila in zilele toride de vara. Fixarea se face cu ventuze.</p><p>Dimensiune: 150x80 cm</p><p></p>,Car Accessories > Tuning auto > Accesorii auto tuning,20.72,11.2,0,https://export.avex.ro/wp-content/uploads/2022/01/1_2ham-zm.jpg,AMIO,0.16,,5.90329E+12,0,RON,31.08,1480,1,https://export.avex.ro/wp-content/uploads/2022/01/1_2ham-zm.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_21hk-ga.jpg,,,
AVX-AM01536,Parasolar parbriz argintiu,Parasolar parbriz argintiu din spuma EPE 130x60 cm,<p>Reflecta razele soarelui facand temperatura din masina sa fie suportabila in zilele toride de vara. Fixarea se face cu ventuze.</p><p>Dimensiune: 130x60 cm<br></p>,Car Accessories > Tuning auto > Accesorii auto tuning,20.04,10.83,6,https://export.avex.ro/wp-content/uploads/2022/01/1_k58b-z4.jpg,AMIO,0.06,,5.90329E+12,0,RON,30.06,1480,2,https://export.avex.ro/wp-content/uploads/2022/01/1_k58b-z4.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_gesw-6c.jpg,,,
AVX-AM01535,Parasolar parbriz argintiu,Parasolar parbriz argintiu din spuma EPE 145x70 cm,<p>Reflecta razele soarelui facand temperatura din masina sa fie suportabila in zilele toride de vara. Fixarea se face cu ventuze.</p><p>Dimensiune: 145x70 cm</p>,Car Accessories > Tuning auto > Accesorii auto tuning,22.81,12.33,0,https://export.avex.ro/wp-content/uploads/2022/01/1_f7s7-e6.jpg,AMIO,0.075,,5.90329E+12,0,RON,34.215,1480,3,https://export.avex.ro/wp-content/uploads/2022/01/1_f7s7-e6.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_ymjn-jr.jpg,,,
AVX-AMCC61516,Tester electronic de,Tester electronic de tensiune 12V,<p>Tester electronic de tensiune pentru a verifica incarcarea bateriei si tensiunea pe alternator 12V.</p>,Car Accessories > Tuning auto > Accesorii auto tuning,52.85,28.57,1,https://export.avex.ro/wp-content/uploads/2022/01/1_bdgq-3a.jpg,CarCommerce,0.12,,5.90748E+12,0,RON,79.275,1480,4,https://export.avex.ro/wp-content/uploads/2022/01/1_bdgq-3a.jpg,,,,
AVX-AMK5500,Redresor auto cu,Redresor auto cu indicator analog BK 12/6 6A,<p>Redresor de baterii auto pentru a incarca baterii de 12V cu curent de pana la 6A.</p>,Car Accessories > Tuning auto > Accesorii auto tuning,341.88,184.8,2,https://export.avex.ro/wp-content/uploads/2022/01/1_8cpk-z4.jpg,AVEX,1.31,,5.90473E+12,0,RON,512.82,1480,5,https://export.avex.ro/wp-content/uploads/2022/01/1_8cpk-z4.jpg,,,,
AVX-AM02143,Pompa manuala metalica,Pompa manuala metalica PU04,"<p>Pompa de mana robusta cu o presiune maxima de 11 BAR/160 PSI . Are un cap universal dublu pentru supapele auto si biciclete.</p><p>In plus, setul include un adaptor si un ac pentru umflarea de saltele gonflabile, mingi si jucarii gonflabile.</p><p>Pompa este din aluminiu si plastic de calitate. Furtunul are lungimea de 65 cm, iar inaltimea pompei este de 62cm.</p>",Car Accessories > Tuning auto > Accesorii auto tuning,60.87,32.9,12,https://export.avex.ro/wp-content/uploads/2022/01/1_3qlk-n2.jpg,AMIO,0.718,,5.90329E+12,0,RON,91.305,1480,6,https://export.avex.ro/wp-content/uploads/2022/01/1_3qlk-n2.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_g8b9-4j.jpg,,,
AVX-AM02403,Redresor digital auto,Redresor digital auto 6V/12V - 2A/6A DCB-02,"<p>Redresor digital auto 6V/12V - 2A/6A DCB-02</p><p>CARACTERISTICI:</p><p>- ecran digital<br>- controlat de un microprocesor<br>- detectarea automata a tensiunii 6V sau 12V<br>- pentru baterii plumb-acid, gel, AGM È™i SLA<br>- protectii incorporate: polaritate inversa, supracurent, supratensiune, supraincalzire&nbsp;</p><p>PARAMETRI TEHNICI:</p><p>- tensiune de intrare: AC 220-240V<br>- tensiune de iesire: DC 6 / 12V<br>- curent maxim de incarcare: modul motocicleta: 2A +/- 10%; modul auto: 6A +/- 10%</p><p>DIMENSIUNI: 10 x 15,5 x 6 cm&nbsp;</p>",Car Accessories > Tuning auto > Accesorii auto tuning,206.61,111.68,4,https://export.avex.ro/wp-content/uploads/2022/01/1_8812-7k.jpg,AMIO,0.533,,5.90329E+12,0,RON,309.915,1480,7,https://export.avex.ro/wp-content/uploads/2022/01/1_8812-7k.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_i1or-55.jpg,https://export.avex.ro/wp-content/uploads/2022/02/3_iqtt-8w.jpg,https://export.avex.ro/wp-content/uploads/2022/02/4_2lwn-l8.jpg,
AVX-AM01994,Pompa electrica pentru,Pompa electrica pentru extras uleiul 12V,"<p>Pompa electrica se folseste pentru extragerea uleiului si a combustibilului, aceasta nu este conceputa si pentru extragerea apei.</p><p>Specificatii:</p><p>- Tensiune: 12V<br>- Consum curent: 5A<br>- Putere: 60W<br>- Intensitatea sunetului: 70dB<br>- Diametrul conectorilor: 1/2 inch<br>- Timp maxim de lucru: 30 minute</p>",Car Accessories > Tuning auto > Accesorii auto tuning,158.51,85.68,2,https://export.avex.ro/wp-content/uploads/2022/01/1_kotn-ye.jpg,AMIO,0.45,,5.90329E+12,0,RON,237.765,1480,8,https://export.avex.ro/wp-content/uploads/2022/01/1_kotn-ye.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_0e1g-0i.jpg,https://export.avex.ro/wp-content/uploads/2022/02/3_07n3-1f.jpg,,
AVX-AM02055,Pompa manuala multifunctionala,Pompa manuala multifunctionala de aer si lichide 3 in 1,<p>Pompa manuala multifunctionala de aer si lichide 3 in 1</p>,Car Accessories > Tuning auto > Accesorii auto tuning,55.32,29.9,12,https://export.avex.ro/wp-content/uploads/2022/01/1_8gcc-wq.jpg,AMIO,0.58,,5.90329E+12,0,RON,82.98,1480,9,https://export.avex.ro/wp-content/uploads/2022/01/1_8gcc-wq.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_1x3q-gw.jpg,https://export.avex.ro/wp-content/uploads/2022/02/3_yb8p-nj.jpg,,
AVX-AM01030,Splitter bricheta auto,Splitter bricheta auto SOC2 3+1 USB,"<p>Splitter universal auto pentru bricheta potrivit pentru toate accesoriile cu incarcare la bricheta auto (suport auto pentru incalzirea scaunelor, cani termo-izolante, lanterne, incarcatoare auto pentru telefoanele mobile, tablete, MP3, aparate foto, camere de filmat, dispozitive de navigatie GPS, etc).&nbsp;</p><p>Pentru a putea incarca telefonul, tableta sau orice alt dispozitiv care permite conexiunea directa, folositi portul USB.</p><p>Curent de incarcare USB 1A. Tensiune de intrare: 12/24V. Protectie 5A (max60W).<br></p>",Car Accessories > Tuning auto > Accesorii auto tuning,42.35,22.89,7,https://export.avex.ro/wp-content/uploads/2022/01/1_2e0j-3p.jpg,AMIO,0.098,,5.90329E+12,0,RON,63.525,1480,10,https://export.avex.ro/wp-content/uploads/2022/01/1_2e0j-3p.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_h0yp-vc.jpg,,,
AVX-AM01031,Splitter bricheta auto,Splitter bricheta auto SOC4 3+1 USB,"<p>Splitter universal auto pentru bricheta potrivit pentru toate accesoriile cu incarcare la bricheta auto (suport auto pentru incalzirea scaunelor, cani termo-izolante, lanterne, incarcatoare auto pentru telefoanele mobile, tablete, MP3, aparate foto, camere de filmat, dispozitive de navigatie GPS, etc).&nbsp;</p><p>Pentru a putea incarca telefonul, tableta sau orice alt dispozitiv care permite conexiunea directa, folositi portul USB.</p><p>Curent de incarcare USB 1A. Tensiune de intrare: 12/24V. Protectie 5A (max60W).</p><p></p>",Car Accessories > Tuning auto > Accesorii auto tuning,37.59,20.32,4,https://export.avex.ro/wp-content/uploads/2022/01/1_wmr9-lb.jpg,AMIO,0.11,,5.90329E+12,0,RON,56.385,1480,11,https://export.avex.ro/wp-content/uploads/2022/01/1_wmr9-lb.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_r669-nh.jpg,,,
AVX-AMTAT36194,Laveta din piele,Laveta din piele naturala de caprioara 26x37 cm,<p>Laveta din piele naturala de caprioara 26x37 cm</p><p>- dimensiuni : 26x37cm<br>- prezinta o putere mare de absortie<br>- inainte de prima folosire imbibati pielea in apa calda dupa care stoarceti<br>- folositi laveta pentru a sterge suprafetele umede<br>- spalati laveta din pielea de caprioara dupa folosire<br>- nu o lasati sa se usuce la soare<br>- trebuie pastrata umeda<br>- evitati contactul cu detergentii la spalarea lui</p>,Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,39.07,21.12,16,https://export.avex.ro/wp-content/uploads/2022/01/1_c58b-pv.jpg,AMIO,0.035,,5.90767E+12,0,RON,58.605,1414,12,https://export.avex.ro/wp-content/uploads/2022/01/1_c58b-pv.jpg,,,,
AVX-AM02169,Laveta sintetica imitatie,Laveta sintetica imitatie piele caprioara 3D SLIP 30x30 cm,"<p>Aceasta laveta utilizata pentru lustruirea masinii, curatarea interiorului vehiculului si poate fi folosita si pentru uz casnic sau pentru curatarea geamurilor. Dupa utilizare, pur si simplu curatati-o cu un agent de curatare.</p><p>Atentie, laveta este din piele sintetica ce imita foarte bine piele de caprioara si nu lasa urme dupa stergere.</p><p>Dimensiune: 30x30cm<br></p>",Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,23.87,12.9,10,https://export.avex.ro/wp-content/uploads/2022/01/1_4563-4d.jpg,AMIO,0.085,,5.90329E+12,0,RON,35.805,1414,13,https://export.avex.ro/wp-content/uploads/2022/01/1_4563-4d.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_63rs-lv.jpg,,,
AVX-AM01046,Set lavete microfibre,Set lavete microfibre 4 buc 30x30 cwash-02,"<p>Set lavete microfibre 4 buc cu dimensiunea 30x30 cm</p><p>Lavetele din microfibra, curata si lustruiesc fara a lasa scame.<br>Datorita structurii speciale, poliamida cu poliester, tesatura din microfibra are o mare putere de absorbtie si de retinere a murdariei. Tesatura din microfibra are proprietati antistatice si nu se destrama dupa uz indelungat.</p>",Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,24.51,13.25,19,https://export.avex.ro/wp-content/uploads/2022/01/1_8fto-7e.jpg,AMIO,0.12,,5.90329E+12,0,RON,36.765,1414,14,https://export.avex.ro/wp-content/uploads/2022/01/1_8fto-7e.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_s5c0-ds.jpg,,,
AVX-AME0241,Pasta de polisat,Pasta de polisat mediu abraziv,<p>Pasta de polisat mediu abraziv se foloseste pentru indepartarea zgarieturilor mai profunde si lustruirea suprafeteler cu vopsea veche si deteriorate. Reda in mod eficient si rapid stralucirea si culoarea originala intensa.</p>,Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,28.4,15.35,6,https://export.avex.ro/wp-content/uploads/2022/01/1_gyp4-gq.jpg,AMIO,0.152,,8.59483E+12,0,RON,42.6,1414,15,https://export.avex.ro/wp-content/uploads/2022/01/1_gyp4-gq.jpg,,,,
